Complaint_ID,Date_Received,Product_Name,Product,Issue,Company,State_Name,Portals,Company_Response_to_Consumer,Timely_Response
468882,7/29/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,Wells Fargo & Company,VA,Phone,Closed with explanation,Yes
468889,7/29/2013,Bank account or service,Checking account,Using a debit or ATM card,Wells Fargo & Company,CA,Web,Closed with explanation,Yes
468879,7/29/2013,Bank account or service,Checking account,"Account opening, closing, or management",Santander Bank US,NY,Fax,Closed,Yes
468949,7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,Wells Fargo & Company,GA,Web,Closed with explanation,Yes
475823,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Franklin Credit Management,CT,Web,Closed with explanation,Yes
468981,7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,Bank of America,TX,Web,Closed with explanation,Yes
467801,7/29/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,"NRA Group, LLC",VA,Web,Closed with non-monetary relief,Yes
475728,7/29/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,"SunTrust Banks, Inc.",FL,Referral,Closed with explanation,Yes
469026,7/29/2013,Credit card,,Billing statement,Citibank,OH,Referral,Closed with explanation,Yes
469035,7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,NV,Referral,Closed with explanation,Yes
650357,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Bank of America,NC,Referral,Closed with non-monetary relief,Yes
469284,7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase & Co.,CA,Referral,Closed with explanation,Yes
480488,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Citibank,CA,Referral,Closed with explanation,Yes
468904,7/29/2013,Debt collection,Credit card,Communication tactics,"Asset Management Professionals, LLC",PA,Phone,Closed with explanation,No
468905,7/29/2013,Debt collection,Credit card,Communication tactics,Wells Fargo & Company,PA,Phone,Closed with non-monetary relief,Yes
469057,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,NY,Phone,Closed with explanation,Yes
469060,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",Ocwen,FL,Web,Closed with explanation,Yes
469070,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",JPMorgan Chase & Co.,NY,Web,Closed with explanation,Yes
472236,7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",Citibank,NJ,Web,Closed with explanation,Yes
469131,7/29/2013,Credit card,,APR or interest rate,Synchrony Financial,WA,Web,Closed with monetary relief,Yes
474204,7/29/2013,Credit reporting,,Credit monitoring or identity protection,Experian,CA,Web,Closed with monetary relief,Yes
469138,7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Bank of America,HI,Web,Closed with explanation,Yes
469143,7/29/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",JPMorgan Chase & Co.,FL,Postal mail,Closed with explanation,Yes
480173,7/29/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",Wells Fargo & Company,NY,Web,Closed with non-monetary relief,Yes
469360,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Ocwen,NY,Referral,Closed with explanation,Yes
469632,7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",U.S. Bancorp,CA,Referral,Closed with monetary relief,Yes
469173,7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",Bank of America,IL,Web,Closed with explanation,Yes
469185,7/29/2013,Bank account or service,Other bank product/service,Deposits and withdrawals,Wells Fargo & Company,CA,Web,Closed with explanation,Yes
469201,7/29/2013,Credit reporting,,Incorrect information on credit report,Equifax,CA,Web,Closed with non-monetary relief,Yes
469210,7/29/2013,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, Inc.",OH,Web,Closed with explanation,Yes
469252,7/29/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,"Northland Group, Inc.",FL,Referral,Closed with explanation,Yes
469863,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","SunTrust Banks, Inc.",FL,Referral,Closed with non-monetary relief,Yes
469255,7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",Bank of America,FL,Web,Closed with non-monetary relief,Yes
469811,7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","SunTrust Banks, Inc.",FL,Referral,Closed,Yes
479329,7/29/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,Santander Consumer USA Holdings Inc,CA,Referral,Closed,Yes
454668,7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",Land/Home Financial Services,MI,Fax,Closed with explanation,No
475273,7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,JPMorgan Chase & Co.,NJ,Postal mail,Closed with monetary relief,Yes
479990,7/29/2013,Credit card,,Delinquent account,Amex,TX,Web,Closed with monetary relief,Yes
469293,7/29/2013,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",Nationstar Mortgage,GA,Web,Closed with explanation,Yes
469309,7/29/2013,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Wells Fargo & Company,TX,Postal mail,Closed with explanation,Yes
